"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "JavaScript JSX", "Properties", "Markdown", "XML", "HTML", "WebAssembly Text Format", "Rust", "Ignore", "YAML", "Docker", "Shell Script", "comment", "blank", "total"
"/Users/admin/Downloads/updated-code/.next/static/chunks/fallback/amp.js", "JavaScript", 0, 401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 238, 885
"/Users/admin/Downloads/updated-code/.next/static/chunks/fallback/main.js", "JavaScript", 0, 936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 570, 562, 2068
"/Users/admin/Downloads/updated-code/.next/static/chunks/fallback/pages/_app.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 28
"/Users/admin/Downloads/updated-code/.next/static/chunks/fallback/pages/_error.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 28
"/Users/admin/Downloads/updated-code/.next/static/chunks/fallback/react-refresh.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 13, 62
"/Users/admin/Downloads/updated-code/.next/static/chunks/fallback/webpack.js", "JavaScript", 0, 1098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 1210
"/Users/admin/Downloads/updated-code/.next/static/chunks/main.js", "JavaScript", 0, 936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 570, 562, 2068
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_cbw-sdk_dist_index_js.js", "JavaScript", 0, 909, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 607, 598, 2114
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_coinbase_wallet-sdk_dist_index_js.js", "JavaScript", 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 172, 635
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_draggabilly_draggabilly_js.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 51
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_fractalwagmi_solana-wallet-adapter_dist_esm_index_js.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 55, 192
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_isows__esm_native_js.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 32
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_jnwng_walletconnect-solana_lib_esm_index_js.js", "JavaScript", 0, 1177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 743, 733, 2653
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_keystonehq_sol-keyring_dist_index_js.js", "JavaScript", 0, 1636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1005, 996, 3637
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_ledgerhq_hw-transport-webhid_lib-es_TransportWebHID_js.js", "JavaScript", 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 148, 505
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_metamask_sdk_dist_browser_es_metamask-sdk_js.js", "JavaScript", 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 151, 556
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_safe-global_safe-apps-provider_dist_index_js.js", "JavaScript", 0, 1523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1148, 1141, 3812
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_safe-global_safe-apps-sdk_dist_esm_index_js.js", "JavaScript", 0, 1419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1070, 1063, 3552
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_salmon-adapter-sdk_lib_esm_index_js.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 87
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_solana_wallet-adapter-particle_node_modules_particle-network_solana-wallet_es_index_js.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 180, 633
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_solflare-wallet_metamask-sdk_lib_esm_index_js.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 73, 252
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_solflare-wallet_sdk_lib_esm_index_js.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 76, 262
"/Users/admin/Downloads/updated-code/.next/static/chunks/node_modules_toruslabs_solana-embed_dist_solanaEmbed_esm_js.js", "JavaScript", 0, 1678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1078, 1067, 3823
